year	month	day	hour	minute	sex	length	weight	eggs
2013	4	1	2	0	m	34	107.1	0
2013	5	4	3	0	m	32	100.8	0
2013	6	6	14	0	m	35	110.25	0
2013	7	16	2	15	m	37	116.55	0
2013	8	19	6	0	m	31	97.65	0
2013	4	1	7	0	f	42	132.3	4
2013	5	4	11	30	f	47	148.05	6
2013	6	6	23	45	f	39	122.85	1
2013	7	16	1	45	f	NA	119.7	2
2013	8	20	3	0	f	42	132.3	4
2014	4	3	1	0	m	29	91.35	0
2014	5	4	4	15	m	31	97.65	0
2014	6	30	2	30	m	34	107.1	0
2014	7	23	5	15	m	33	103.95	0
2014	8	8	2	15	m	32	100.8	0
2014	4	6	3	30	f	42	132.3	1
2014	5	3	14	15	f	43	135.45	4
2014	6	30	2	0	f	44	138.6	2
2014	7	24	6	0	f	44	138.6	2
2014	8	8	7	30	f	44	138.6	2
2015	4	11	11	45	m	37	116.55	0
2015	5	14	23	45	m	38	119.7	0
2015	6	15	1	0	m	41	129.15	0
2015	7	15	3	0	m	39	122.85	0
2015	8	18	1	15	m	34	107.1	0
2015	4	11	4	30	f	51	160.65	7
2015	5	14	2	0	f	44	138.6	1
2015	6	15	5	15	f	42	132.3	5
2015	7	15	3	30	f	43	135.45	2
2015	8	18	2	0	f	46	144.9	5
