,Nfens,NQuad,MeanRootingDepth,pH,MinpH,RootMax
Caqu,17,686,6.3,5.4,3.4,48
Ccan,15,86,8,5.4,3.9,25
Ccho,10,153,7,5.4,3.3,23
Cdis,5,31,9.8,5.3,3.7,27
Cech,14,88,7.7,5.2,3.7,25
Cexi,11,66,5.6,5.1,3.8,36
Cgyn,14,182,13.4,5.5,2.9,36
Chel,5,36,4.8,6.2,4.5,19
Clep,13,139,11.4,5.8,3.5,48
Clim,25,1016,0.3,4.9,3,32
Cliv,16,292,-2.7,5.5,3.4,21
Cmag,27,387,6.5,4.5,2.9,40
Coli,15,224,2.9,4.5,3,35
Cpau,22,217,12.5,4.3,2.9,40
Crar,13,148,11.5,5.2,3.4,33
Cros,23,434,-6.1,5.1,3.1,30
Csax,2,10,-32,6,4.7,15
Cten,11,45,12.4,4.9,2.9,43
Ctri,18,121,17.7,4.3,3,50
Cutr,11,87,-1.8,5,3.6,30
Cvag,17,191,16,4.8,3.3,50
Talp,10,194,8.9,5.8,3.5,30
Tces,22,721,2.8,5.1,3,34
Eang,11,54,-0.4,5.1,3.9,23
Echa,26,325,-1.9,4.9,3,35
Evag,2,4,13.7,3.7,3.4,22
Evir,9,68,7.3,5.9,3.5,25
