order	family	genus	species	common	max_tl_mm
Acipenseriformes	Acipenseridae	Acipenser	oxyrhinchus	Atlantic Sturgeon	4030
Aulopiformes	Alepisauridae	Alepisaurus	brevirostris	Short Snouted Lancetfish	960
Aulopiformes	Alepisauridae	Alepisaurus	ferox	Long Snouted Lancetfish	2150
Clupeiformes	Clupeidae	Alosa	sapidissima	American Shad	760
Rajiformes	Rajidae	Amblyraja	hyperborea	Arctic Skate	1060
Rajiformes	Rajidae	Amblyraja	jenseni	Shorttail Skate	743
Rajiformes	Rajidae	Amblyraja	radiata	Starry Ray	1050
Perciformes	Ammodytidae	Ammodytes	americanus	American Sand Lance	235
Perciformes	Ammodytidae	Ammodytes	dubius	Northern Sand Lance	250
Perciformes	Anarhichadidae	Anarhichas	denticulatus	Northern Wolffish	1800
Perciformes	Anarhichadidae	Anarhichas	lupus	Atlantic Wolffish	1500
Perciformes	Anarhichadidae	Anarhichas	minor	Spotted Wolffish	1800
Perciformes	Stichaeidae	Anisarchus	medius	Stout Eelblenny	300
Beryciformes	Anoplogastridae	Anoplogaster	cornuta	Common Fangtooth	180
Aulopiformes	Anotoperidae	Anotopterus	pharao	Daggertooth	960
Gasterosteiformes	Gasterosteidae	Apeltes	quadracus	Fourspine Stickleback	64
Carcharhiniformes	Scyliorhinidae	Apristurus	profundorum	Deep-Water Catshark	542
Gadiformes	Gadidae	Arctogadus	glacialis	Arctic Cod	325
Osmeriformes	Argentinidae	Argentina	striata	Striated Argentine	240
Scorpaeniformes	Cottidae	Artediellus	uncinatus	Arctic Hookear Sculpin	100
Scorpaeniformes	Agonidae	Aspidophoroides	monopterygius	Alligatorfish	220
Scorpaeniformes	Agonidae	Aspidophoroides	olrikii	Arctic Alligatorfish	86
Osmeriformes	Bathylagidae	Bathylagus	euryops	Goiter Blacksmelt	130
Rajiformes	Arhynchobatidae	Bathyraja	spinicauda	Spinytail Skate	1700
Gadiformes	Gadidae	Boreogadus	saida	Polar Cod	400
Clupeiformes	Clupeidae	Brevoortia	tyrannus	Atlantic Menhaden	500
Gadiformes	Lotidae	Brosme	brosme	Tusk	1200
Scorpaeniformes	Liparidae	Careproctus	reinhardti	Sea Tadpole	300
Perciformes	Caristiidae	Caristius	fasciatus	Greenland Manefish	300
Squaliformes	Etmopteridae	Centroscyllium	fabricii	Black Dogfish	1070
Squaliformes	Somniosidae	Centroscymnus	coelolepis	Portuguese Dogfish	1200
Lamniformes	Cetorhinidae	Cetorhinus	maximus	Basking Shark	9000
Gadiformes	Macrouridae	Coelorhinchus	caelorhincus	Hollowsnout Grenadier	480
Gadiformes	Macrouridae	Coryphaenoides	rupestris	Roundnose Grenadier	1100
