tag_id	tag_applied	tag_recapture	year	month	day	hour	minute	width_est	tl_cm	sex	width_cm	comment
SKT3003	N	Y	2015	5	6	7	0	N	58.0	M	36.0	
SKT2603	N	Y	2015	5	6	7	0	Y	52.5	F	35.0	
SKT0745	N	Y	2015	5	6	7	0	Y	64.0	M	40.0	
SKT0283	N	Y	2015	5	9	9	30	Y	56.0	F	30.0	
SKT0956	N	Y	2015	5	9	9	30	Y	65.0	M	40.0	
SKT0129	N	Y	2015	5	9	9	30	Y	73.0	M	45.0	error
SKT3271	N	Y	2015	5	18	5	45	Y	58.0	F	35.0	
SKT0659	N	Y	2015	5	18	5	45	Y	58.0	F	35.0	
SKT0921	N	Y	2015	5	18	5	45	Y	61.0	M	40.0	
SKT0731	N	Y	2015	5	18	5	45	Y	66.0	F	40.0	
R147	N	Y	2015	5	18	5	45	Y	63.5	M	40.0	
SKT0775	N	Y	2015	5	18	5	45	Y	63.5	M	40.0	
SKT0996	N	Y	2015	5	18	5	45	Y	63.5	F	40.0	
SKT2968	N	Y	2015	5	19	6	30	N	57.0	F	36.5	
SKT0470	N	Y	2015	5	19	6	30	N	58.5	F	37.0	
SKT3009	N	Y	2015	5	19	6	30	N	62.0	F	38.0	error
SKT0627	N	Y	2015	5	19	6	30	N	62.0	F	40.0	
SKT3389	N	Y	2015	5	21	8	0	N	61.0	F	37.5	
SKT0877	N	Y	2015	5	21	8	0	Y	57.0	M	35.0	
SKT0232	N	Y	2015	5	26	0	30	N	57.0	M	36.5	
SKT3065	N	Y	2015	5	26	0	30	N	58.0	F	37.5	
SKT3009	N	Y	2015	5	26	0	30	N	61.0	F	38.0	
SKT2563	N	Y	2015	5	28	14	25	Y	43.0	F	30.0	
SKT2957	N	Y	2015	5	28	14	25	Y	60.0	F	35.0	
SKT2613	N	Y	2015	5	28	14	25	Y	67.0	M	40.0	
SKT2702	N	Y	2015	5	31	16	30	Y	47.0	F	30.0	
SKT3384	N	Y	2015	5	31	16	30	Y	55.0	F	35.0	
SKT0945	N	Y	2015	5	31	16	30	Y	54.0	F	35.0	
SKT3351	N	Y	2015	5	31	16	30	Y	60.0	M	40.0	
SKT0509	N	Y	2015	5	31	16	30	Y	65.0	F	40.0	
SKT0547	N	Y	2015	5	31	16	30	Y	63.0	M	40.0	
SKT3228	N	Y	2015	5	31	16	30	Y	66.0	F	40.0	
R180	N	Y	2015	5	31	16	30	Y	70.0	F	40.0	error
SKT3746	Y	N	2015	6	1	5	0	N	34.0	M	21.5	
SKT2696	Y	N	2015	6	1	5	0	N	37.0	M	23.0	
SKT2746	N	Y	2015	6	1	5	0	N	45.0	F	28.0	
SKT2915	N	Y	2015	6	1	5	0	N	49.0	F	28.0	
SKT3731	Y	N	2015	6	1	5	0	N	49.0	F	29.0	
SKT3702	Y	N	2015	6	1	5	0	N	52.0	M	33.0	
SKT3791	Y	N	2015	6	1	5	0	N	52.0	M	33.0	
SKT2530	N	Y	2015	6	1	5	0	N	65.0	F	35.0	
SKT0369	N	Y	2015	6	1	5	0	N	55.0	F	36.5	
SKT3783	Y	N	2015	6	1	5	0	N	65.0	F	41.5	
SKT3749a	Y	N	2015	6	1	5	0	N	60.0	M	42.0	error
SKT0441	N	Y	2015	6	1	5	0	N	66.0	M	42.5	error
SKT2529	N	Y	2015	6	1	5	0	Y	37.5	F	20.0	error
SKT3719	Y	N	2015	6	1	5	0	Y	41.0	M	25.0	error
SKT3721	Y	N	2015	6	1	5	0	Y	40.5	M	25.0	error
SKT3396	N	Y	2015	6	1	5	0	Y	52.0	F	25.0	
SKT3735	Y	N	2015	6	1	5	0	Y	43.0	M	25.0	
SKT3739	Y	N	2015	6	1	5	0	Y	59.0	M	35.0	
SKT0551	N	Y	2015	6	1	5	0	Y	60.0	F	40.0	
SKT0633	N	Y	2015	6	1	5	0	Y	66.0	M	40.0	
SKT3732	Y	N	2015	6	1	5	0	Y	68.0	M	40.0	
SKT3704	Y	N	2015	6	1	5	0	Y	70.0	M	45.0	error
SKT0619	N	Y	2015	6	1	17	0	Y	54.5	F	35.0	
SKT2772	N	Y	2015	6	1	17	0	Y	64.0	F	40.0	
SKT1626	N	Y	2015	6	2	5	30	N	33.0	M	20.0	
SKT3399	N	Y	2015	6	2	5	30	N	37.0	M	22.5	
SKT2570	N	Y	2015	6	2	5	30	N	60.0	M	32.0	
SKT3301	N	Y	2015	6	2	5	30	N	61.0	M	38.5	
SKT0462	N	Y	2015	6	2	5	30	N	70.0	M	44.0	error
SKT2516	N	Y	2015	6	2	5	30	Y	38.0	F	20.0	
SKT3326	N	Y	2015	6	2	5	30	Y	37.0	F	20.0	
SKT3339	N	Y	2015	6	2	5	30	Y	42.0	F	25.0	
SKT0609	N	Y	2015	6	2	5	30	Y	56.0	M	30.0	
SKT0851	N	Y	2015	6	2	5	30	Y	60.0	F	35.0	
SKT0673	N	Y	2015	6	2	5	30	Y	61.5	M	35.0	
SKT2906	N	Y	2015	6	3	18	0	Y	53.5	M	35.0	
SKT0954	N	Y	2015	6	3	18	0	Y	65.0	M	40.0	
SKT0633	N	Y	2015	6	3	18	0	Y	64.0	M	40.0	
SKT0857	N	Y	2015	6	3	18	0	Y	36.0	F	NA	
SKT1890	N	Y	2015	6	3	18	0	Y	34.0	F	NA	
SKT1632	N	Y	2015	6	4	6	45	N	42.0	F	25.5	
SKT0470	N	Y	2015	6	4	6	45	N	57.0	F	37.0	
SKT0595	N	Y	2015	6	4	6	45	Y	50.0	M	30.0	
23894	N	Y	2015	6	4	6	45	Y	61.0	M	40.0	
SKT3749a	N	N	2015	6	4	19	30	Y	61.0	M	40.0	
SKT2772	N	Y	2015	6	5	19	40	Y	65.5	F	40.0	
SKT0547	N	Y	2015	6	5	19	40	Y	64.0	M	40.0	
SKT0759	N	Y	2015	6	5	19	40	Y	63.0	M	40.0	
SKT3265	N	Y	2015	6	5	19	40	Y	65.0	F	40.0	
SKT0666	N	Y	2015	6	5	19	40	Y	70.0	M	40.0	error
SKT2561	N	Y	2015	6	6	8	0	N	42.5	F	26.0	
SKT2982	N	Y	2015	6	6	8	0	N	58.0	F	36.0	
SKT1620	N	Y	2015	6	6	8	0	Y	35.0	M	20.0	
23842	N	Y	2015	6	6	8	0	Y	64.5	M	40.0	
SKT2766	N	Y	2015	6	9	23	30	N	59.0	F	36.0	
SKT0080	N	Y	2015	6	9	23	30	Y	46.0	F	30.0	
SKT0896	N	Y	2015	6	9	23	30	Y	58.0	M	35.0	
SKT0616	N	Y	2015	6	9	23	30	Y	62.0	F	40.0	
SKT0979	N	Y	2015	6	9	23	30	Y	65.0	M	40.0	
SKT1847	N	Y	2015	6	9	23	30	Y	65.0	F	40.0	
SKT2660	N	Y	2015	6	9	23	30	Y	69.0	M	40.0	error
SKT0976	N	Y	2015	6	9	23	30	Y	65.0	F	NA	
SKT0850	N	Y	2015	6	10	11	50	Y	61.0	M	40.0	
SKT3009	N	Y	2015	6	11	0	15	N	62.0	F	38.5	
SKT3290	N	Y	2015	6	11	0	15	Y	37.0	M	20.0	
SKT3396	N	Y	2015	6	11	0	15	Y	52.0	F	25.0	
SKT0977	N	Y	2015	6	11	0	15	Y	56.0	M	35.0	
SKT0551	N	Y	2015	6	11	13	0	Y	60.0	F	40.0	
SKT0631	N	Y	2015	6	13	14	45	N	67.0	F	42.0	
SKT1900	N	Y	2015	6	13	14	45	Y	40.0	M	30.0	
SKT2752	N	Y	2015	6	13	14	45	Y	48.0	F	30.0	
SKT2677	N	Y	2015	6	13	14	45	Y	65.0	F	40.0	
SKT3088	N	Y	2015	6	14	15	45	N	42.5	M	26.5	
SKT0556	N	Y	2015	6	14	15	45	N	49.0	M	30.5	
SKT1897	N	Y	2015	6	15	4	15	N	33.0	F	19.5	
SKT1626	N	Y	2015	6	15	4	15	N	33.5	M	21.0	
SKT2593	N	Y	2015	6	15	4	15	N	55.0	M	35.0	
SKT0905	N	Y	2015	6	15	16	30	Y	66.0	M	40.0	
SKT0507	N	Y	2015	6	16	5	30	N	61.5	M	38.0	
SKT0976	N	Y	2015	6	16	5	30	N	65.5	M	42.5	
SKT2561	N	N	2015	6	16	5	30	N	42.0	F	NA	
SKT0719	N	Y	2015	6	16	5	30	Y	64.0	M	40.0	error
SKT3090	N	Y	2015	6	16	15	0	N	43.0	M	27.0	
SKT3368	N	Y	2015	6	17	6	0	Y	43.0	M	30.0	
23869	N	Y	2015	6	17	6	0	Y	51.0	M	30.0	
SKT0740	N	Y	2015	6	17	6	0	Y	67.0	F	40.0	
R169	N	Y	2015	6	17	6	0	Y	61.0	M	40.0	
SKT3052	N	Y	2015	6	17	6	0	Y	63.5	F	40.0	
SKT3297	N	Y	2015	6	17	18	30	Y	59.0	F	35.0	
SKT0622	N	Y	2015	6	17	18	30	Y	69.0	F	40.0	error
SKT2529	N	Y	2015	6	19	7	45	Y	38.0	F	20.0	
SKT1977	N	Y	2015	6	19	7	45	Y	42.0	F	25.0	
SKT3341	N	Y	2015	6	19	7	45	Y	46.0	M	30.0	
SKT0389	N	Y	2015	6	19	7	45	Y	63.5	F	40.0	
SKT0622	N	Y	2015	6	19	7	45	Y	69.0	F	40.0	error
SKT3325	N	Y	2015	6	21	9	15	Y	68.5	F	40.0	
SKT3724	Y	N	2015	6	25	0	15	N	31.5	F	20.0	
SKT3784	Y	N	2015	6	25	0	15	N	38.0	F	23.5	
SKT3786	Y	N	2015	6	25	0	15	N	40.0	F	24.0	
SKT3756	Y	N	2015	6	25	0	15	N	50.0	M	32.0	
SKT3796	Y	N	2015	6	25	0	15	N	57.0	F	35.0	
SKT3725	Y	N	2015	6	25	0	15	N	61.0	F	38.0	
SKT3718	Y	N	2015	6	25	0	15	N	62.0	F	40.0	error
SKT3705	Y	N	2015	6	25	0	15	Y	41.0	F	10.0	
SKT3737	Y	N	2015	6	25	0	15	Y	35.0	M	20.0	
SKT3711	Y	N	2015	6	25	0	15	Y	45.0	F	25.0	
SKT0775	N	Y	2015	6	26	1	0	Y	65.0	M	40.0	
R171	N	Y	2015	6	28	2	30	Y	62.0	F	40.0	
SKT3799	Y	N	2015	6	28	15	0	N	46.5	M	29.0	
SKT2771	N	Y	2015	6	28	15	0	N	49.0	M	32.0	
SKT2563	N	N	2015	6	28	15	0	N	43.0	M	NA	
SKT3793	Y	N	2015	6	28	15	0	Y	33.5	F	20.0	
SKT3776	Y	N	2015	6	28	15	0	Y	31.5	F	25	
SKT3788	Y	N	2015	6	28	15	0	Y	37.5	F	20.0	
SKT0765	N	Y	2015	6	29	3	15	Y	53.0	F	30.0	
SKT0774	N	Y	2015	6	29	3	15	Y	59.0	F	40.0	
SKT3772	Y	N	2015	6	29	15	45	N	47.0	M	29.0	
SKT3798	Y	N	2015	6	29	15	45	N	53.5	F	33.0	
SKT3753	Y	N	2015	6	29	15	45	Y	31.0	F	25	
SKT3778	Y	N	2015	6	29	15	45	Y	35.0	F	20.0	
SKT3773	Y	N	2015	6	29	15	45	Y	43.0	F	30.0	
SKT3789	Y	N	2015	6	29	15	45	Y	47.0	F	30.0	
SKT3348	N	Y	2015	6	30	4	15	N	63.0	F	39.0	
SKT0671	N	Y	2015	6	30	4	15	N	64.0	M	42.0	
SKT3278	N	Y	2015	6	30	4	15	N	64.0	M	42.0	
SKT3349	N	Y	2015	7	3	6	15	N	43.0	F	29.0	
SKT3789	N	Y	2015	7	3	6	15	N	46.0	F	29.0	
SKT0593	N	Y	2015	7	3	6	15	Y	65.0	M	40.0	
R161	N	Y	2015	7	4	7	30	Y	45.5	F	25.0	
SKT0959	N	Y	2015	7	4	7	30	Y	56	M	35.0	error
SKT3782	Y	N	2015	7	7	9	30	N	50.0	F	29.0	
SKT3775	Y	N	2015	7	7	9	30	N	48.5	F	30.5	
SKT3780	Y	N	2015	7	7	9	30	N	50.0	F	31.0	
SKT3787	Y	N	2015	7	7	9	30	N	50.0	F	32.0	
SKT3762	Y	N	2015	7	7	9	30	Y	31.0	F	20.0	
SKT3768	Y	N	2015	7	7	9	30	Y	35.0	F	20.0	
SKT3698	Y	N	2015	7	7	9	30	Y	34.0	F	20.0	
SKT3771	Y	N	2015	7	7	9	30	Y	37.0	F	20.0	
SKT3766	Y	N	2015	7	7	9	30	Y	38.5	F	20.0	
SKT3715	Y	N	2015	7	7	9	30	Y	37.0	M	20.0	
SKT3760	Y	N	2015	7	7	9	30	Y	37.0	F	20.0	
SKT3767	Y	N	2015	7	7	9	30	Y	41.0	F	20.0	
SKT3761	Y	N	2015	7	7	9	30	Y	41.0	F	25.0	
SKT3765	Y	N	2015	7	7	9	30	Y	39.0	M	25.0	
SKT3751	Y	N	2015	7	7	9	30	Y	45.0	F	25.0	
SKT3757	Y	N	2015	7	7	9	30	Y	44.0	M	25.0	
SKT3779	Y	N	2015	7	7	9	30	Y	45.0	M	25.0	
SKT3797	Y	N	2015	7	7	9	30	Y	40.0	M	25.0	
SKT3339	N	Y	2015	7	7	9	30	Y	43.0	F	25.0	
SKT3758	Y	N	2015	7	7	9	30	Y	45.0	F	30.0	
SKT3759	Y	N	2015	7	7	9	30	Y	47.0	F	30.0	
SKT3368	N	Y	2015	7	7	9	30	Y	44.0	M	30.0	
SKT3716	Y	N	2015	7	7	9	30	Y	46.0	M	30.0	
SKT3679	Y	N	2015	7	7	9	30	Y	50.5	F	30.0	
SKT3754	Y	N	2015	7	7	9	30	Y	50.0	M	30.0	
SKT3777	Y	N	2015	7	7	9	30	Y	53.0	M	30.0	
SKT3708	Y	N	2015	7	7	9	30	Y	58.0	F	35.0	
SKT3710	Y	N	2015	7	7	9	30	Y	63.0	F	40.0	
SKT3752	Y	N	2015	7	7	9	30	Y	63.0	M	40.0	
SKT3371	N	Y	2015	7	7	9	30	Y	72.0	F	40.0	error
SKT3795	Y	N	2015	7	7	9	30	Y	67.0	M	40.0	
SKT1877	N	Y	2015	7	8	10	30	Y	48.0	F	30.0	
SKT1948	N	Y	2015	7	8	10	30	Y	46.0	M	30.0	
SKT0828	N	Y	2015	7	8	10	30	Y	51.0	M	30.0	
SKT0765	N	Y	2015	7	8	10	30	Y	53.0	F	35.0	
SKT0616	N	Y	2015	7	8	10	30	Y	62.0	F	45.0	
SKT3339	Y	N	2015	7	8	22	45	Y	42.0	F	25.0	
SKT3795	N	Y	2015	7	8	22	45	Y	66.0	M	40.0	
SKT3734	Y	N	2015	7	11	13	30	Y	40.5	F	20.0	
SKT3713	Y	N	2015	7	11	13	30	Y	38.0	F	20.0	
SKT3763	Y	N	2015	7	11	13	30	Y	61.0	F	35.0	
SKT0977	N	Y	2015	7	11	13	30	Y	61.0	M	40.0	error
SKT3706	Y	N	2015	7	11	13	30	Y	57.0	F	40.0	
SKT3794	Y	N	2015	7	12	14	30	Y	38.0	F	25.0	
SKT3703	Y	N	2015	7	12	14	30	Y	43.0	F	25.0	
SKT3747	Y	N	2015	7	12	14	30	Y	42.0	F	25.0	
SKT3790	Y	N	2015	7	12	14	30	Y	45.0	F	30.0	
SKT3800	Y	N	2015	7	12	14	30	Y	45.5	F	30.0	
SKT3764	Y	N	2015	7	12	14	30	Y	46.0	M	30.0	
SKT3770	Y	N	2015	7	12	14	30	Y	47.0	M	30.0	
SKT3243	N	Y	2015	7	12	14	30	Y	62.0	F	35.0	
SKT2677	N	Y	2015	7	12	14	30	Y	63.5	F	35.0	
SKT3791	Y	N	2015	7	12	14	30	Y	61.0	F	40.0	
SKT0977	N	N	2015	7	12	14	30	Y	61.0	F	NA	
SKT0219	N	Y	2015	7	14	4	0	N	52.0	F	32.0	
SKT0666	N	Y	2015	7	14	4	0	N	72.0	M	44.0	
SKT3749	Y	N	2015	7	14	17	0	N	38.0	F	19.5	
SKT3738	Y	N	2015	7	14	17	0	N	42.0	F	26.0	
SKT3707	Y	N	2015	7	14	17	0	N	64.5	M	38.0	
SKT3714	Y	N	2015	7	14	17	0	Y	43.0	F	25.0	
SKT3701	Y	N	2015	7	14	17	0	Y	50.5	F	30.0	
SKT3750	Y	N	2015	7	15	5	0	N	33.0	M	21.0	
SKT3769	Y	N	2015	7	15	5	0	N	35.5	M	21.0	
SKT3785	Y	N	2015	7	15	5	0	N	37.0	M	22.0	
SKT3722	Y	N	2015	7	15	5	0	N	38.0	M	23.5	
SKT3745	Y	N	2015	7	15	5	0	N	40.0	F	25.0	
SKT3748	Y	N	2015	7	15	5	0	N	42.5	F	25.5	
SKT3781	Y	N	2015	7	15	5	0	N	43.5	M	25.5	
SKT3726	Y	N	2015	7	15	5	0	N	46.0	F	27.0	
SKT3755	Y	N	2015	7	15	5	0	N	49.5	M	29.0	
SKT3744	Y	N	2015	7	15	5	0	N	49.0	F	30.0	
SKT3730	Y	N	2015	7	15	5	0	N	48.0	M	31.5	
SKT3728	Y	N	2015	7	15	5	0	N	50.0	F	32.0	
SKT3792	Y	N	2015	7	15	5	0	N	57.0	F	36.0	
SKT3736	Y	N	2015	7	15	5	0	N	61.0	F	38.0	
SKT3729	Y	N	2015	7	15	5	0	N	64.0	F	38.5	
SKT3741	Y	N	2015	7	15	5	0	N	65.0	M	41.5	
SKT3727	Y	N	2015	7	15	5	0	N	71.0	M	43.5	
SKT3743	Y	N	2015	7	15	5	0	N	63.0	M	43.5	
SKT3740	Y	N	2015	7	15	5	0	Y	37.5	M	25.0	
SKT3720	Y	N	2015	7	15	5	0	Y	44.0	M	25.0	
SKT3717	Y	N	2015	7	15	5	0	Y	45.0	M	30.0	
SKT0410	N	Y	2015	7	15	5	0	Y	45.0	F	30.0	
SKT0646	N	Y	2015	7	15	5	0	Y	50.0	M	30.0	
SKT3723	Y	N	2015	7	15	5	0	Y	54.5	F	35.0	
SKT3712	Y	N	2015	7	15	5	0	Y	64.0	F	40.0	
SKT3733	Y	N	2015	7	15	5	0	Y	66.0	M	40.0	
SKT3954	Y	N	2015	7	19	8	0	N	58.0	F	35.0	
SKT3965	Y	N	2015	7	19	8	0	Y	36.0	F	20.0	
SKT3968	Y	N	2015	7	19	8	0	Y	43.5	F	25.0	error
SKT3964	Y	N	2015	7	19	8	0	Y	44.5	M	25.0	
SKT3973	Y	N	2015	7	19	8	0	Y	45.0	M	25.0	
SKT3974	Y	N	2015	7	19	8	0	Y	46.0	F	30.0	
SKT3966	Y	N	2015	7	19	8	0	Y	51.0	M	30.0	
SKT3971	Y	N	2015	7	19	8	0	Y	52.0	M	30.0	
SKT3959	Y	N	2015	7	19	8	0	Y	58.0	F	35.0	
SKT3967	Y	N	2015	7	19	8	0	Y	65.0	F	40.0	
SKT3972	Y	N	2015	7	19	8	0	Y	66.0	F	40.0	
SKT3970	Y	N	2015	7	19	8	0	Y	67.0	F	40.0	
SKT3971	N	N	2015	7	19	20	15	N	52	F	NA	
SKT3962	Y	N	2015	7	19	20	15	Y	34	F	20.0	
SKT3951	Y	N	2015	7	19	20	15	Y	37.5	M	20.0	
SKT3975	Y	N	2015	7	19	20	15	Y	48	F	30.0	
SKT3960	Y	N	2015	7	19	20	15	Y	45	M	30.0	
SKT0587	N	Y	2015	7	19	20	15	Y	48	F	30.0	
SKT3958	Y	N	2015	7	19	20	15	Y	64	F	40.0	
SKT3953	Y	N	2015	7	19	20	15	Y	59	M	40.0	
SKT3932	Y	N	2015	7	21	9	30	N	24	F	15	
SKT3934	Y	N	2015	7	21	9	30	N	27	F	16.5	
SKT3936	Y	N	2015	7	21	9	30	N	31	F	18.5	
SKT3937	Y	N	2015	7	21	9	30	N	40	F	24	
SKT3935	Y	N	2015	7	21	9	30	N	44	F	25	
SKT3982	Y	N	2015	7	21	9	30	Y	31	F	20.0	
SKT3985	Y	N	2015	7	21	9	30	Y	43	F	20.0	
SKT3991	Y	N	2015	7	21	9	30	Y	32.5	M	25	
